CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,190,45,308,174,2,2,262,213,378,135,280,213,375,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,191,46,308,174,2,2,254,179,378,135,282,210,373,190,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,192,47,308,174,2,2,236,153,383,138,282,210,381,197,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,193,45,308,174,2,2,251,182,342,192,280,213,342,202,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,194,44,308,174,2,2,249,208,383,141,272,221,381,153,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,195,43,308,174,2,3,257,221,375,226,272,223,362,226,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,196,44,308,174,3,3,213,231,386,241,267,236,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,197,43,308,174,3,3,228,251,396,251,267,244,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,198,43,308,174,3,4,233,262,401,257,267,249,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,199,38,308,174,3,4,226,228,401,262,267,233,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,200,38,308,174,2,4,241,210,404,267,275,218,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,201,39,308,174,2,4,249,182,406,270,280,210,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,202,38,308,174,2,4,264,177,411,264,282,205,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,203,38,308,174,1,3,264,164,417,239,285,202,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,204,37,308,174,1,3,270,171,419,215,282,205,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,205,37,308,174,2,2,267,200,401,164,282,210,391,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,206,36,308,174,3,2,249,241,365,164,267,236,350,192,-7,258,258,187,107,2.57712741596489,2.57712741596489
